date,freq,rm,y_true,model,y_pred
2017-06-01,5min,BV,0.012475730071793,ANN,0.0075859463988438
2017-06-01,5min,BV,0.012475730071793,ARFIMA,0.0128823381613367
2017-06-01,5min,BV,0.012475730071793,HAR,0.009436079401346
2017-06-02,5min,BV,0.0116647519830099,ANN,0.0124713156189313
2017-06-02,5min,BV,0.0116647519830099,ARFIMA,0.0128816064082085
2017-06-02,5min,BV,0.0116647519830099,HAR,0.0070250560781136
2017-06-05,5min,BV,0.0113932095651762,ANN,0.0133070618069392
2017-06-05,5min,BV,0.0113932095651762,ARFIMA,0.0123734938148104
2017-06-05,5min,BV,0.0113932095651762,HAR,0.0054381579892938
2017-06-06,5min,BV,0.0115589927496125,ANN,0.0135265423364879
2017-06-06,5min,BV,0.0115589927496125,ARFIMA,0.0118592601936582
2017-06-06,5min,BV,0.0115589927496125,HAR,0.0042355875001525
2017-06-07,5min,BV,0.0124796497579317,ANN,0.0102219129341821
2017-06-07,5min,BV,0.0124796497579317,ARFIMA,0.0125257227091319
2017-06-07,5min,BV,0.0124796497579317,HAR,0.0035045302411604
2017-06-08,5min,BV,0.0116574971003929,ANN,0.0161854165675802
2017-06-08,5min,BV,0.0116574971003929,ARFIMA,0.0126790058230708
2017-06-08,5min,BV,0.0116574971003929,HAR,0.0034257799756703
2017-06-09,5min,BV,0.0112745618387907,ANN,0.0051526471399477
2017-06-09,5min,BV,0.0112745618387907,ARFIMA,0.0115610139984779
2017-06-09,5min,BV,0.0112745618387907,HAR,0.0033289050340908
2017-06-12,5min,BV,0.0107644015670699,ANN,0.0119189127754044
2017-06-12,5min,BV,0.0107644015670699,ARFIMA,0.0113950882639057
2017-06-12,5min,BV,0.0107644015670699,HAR,0.0032515159653717
2017-06-13,5min,BV,0.0107229818676587,ANN,0.0119838859774448
2017-06-13,5min,BV,0.0107229818676587,ARFIMA,0.0116664146828916
2017-06-13,5min,BV,0.0107229818676587,HAR,0.0031793694143167
2017-06-14,5min,BV,0.0102704630422353,ANN,0.0129835143012706
2017-06-14,5min,BV,0.0102704630422353,ARFIMA,0.0134754513250836
2017-06-14,5min,BV,0.0102704630422353,HAR,0.0031490871949172
2017-06-15,5min,BV,0.010388997293473,ANN,0.015405518663057
2017-06-15,5min,BV,0.010388997293473,ARFIMA,0.011683842436032
2017-06-15,5min,BV,0.010388997293473,HAR,0.0030389732890974
2017-06-16,5min,BV,0.0109679465089271,ANN,0.0081987232378784
2017-06-16,5min,BV,0.0109679465089271,ARFIMA,0.0102706938846099
2017-06-16,5min,BV,0.0109679465089271,HAR,0.002947055453168
2017-06-19,5min,BV,0.0116444384869923,ANN,0.0077286488161705
2017-06-19,5min,BV,0.0116444384869923,ARFIMA,0.0098103385375207
2017-06-19,5min,BV,0.0116444384869923,HAR,0.0028622437319057
2017-06-20,5min,BV,0.0113588949679864,ANN,0.0084186208146138
2017-06-20,5min,BV,0.0113588949679864,ARFIMA,0.0108158886354891
2017-06-20,5min,BV,0.0113588949679864,HAR,0.0028058077721894
2017-06-21,5min,BV,0.0107871021325586,ANN,0.0038626373674318
2017-06-21,5min,BV,0.0107871021325586,ARFIMA,0.0125368802177736
2017-06-21,5min,BV,0.0107871021325586,HAR,0.0027648777735002
2017-06-22,5min,BV,0.0114079064708176,ANN,0.0047460897821685
2017-06-22,5min,BV,0.0114079064708176,ARFIMA,0.0113445409042947
2017-06-22,5min,BV,0.0114079064708176,HAR,0.0026666467337678
2017-06-23,5min,BV,0.0113408315673387,ANN,0.0097468345379667
2017-06-23,5min,BV,0.0113408315673387,ARFIMA,0.0111279920478541
2017-06-23,5min,BV,0.0113408315673387,HAR,0.0025797253077344
2017-06-26,5min,BV,0.0106216386737185,ANN,0.0106941462013851
2017-06-26,5min,BV,0.0106216386737185,ARFIMA,0.0113648657963483
2017-06-26,5min,BV,0.0106216386737185,HAR,0.0024837879468807
2017-06-27,5min,BV,0.0125540561007455,ANN,0.0073349709806667
2017-06-27,5min,BV,0.0125540561007455,ARFIMA,0.0110069261666462
2017-06-27,5min,BV,0.0125540561007455,HAR,0.0023838334534785
2017-06-28,5min,BV,0.0142242772913657,ANN,0.0031134973486474
2017-06-28,5min,BV,0.0142242772913657,ARFIMA,0.0120052201587651
2017-06-28,5min,BV,0.0142242772913657,HAR,0.002345366741425
2017-06-29,5min,BV,0.0147055266502175,ANN,0.0104036526157547
2017-06-29,5min,BV,0.0147055266502175,ARFIMA,0.0121051868371277
2017-06-29,5min,BV,0.0147055266502175,HAR,0.0023109139376831
2017-06-30,5min,BV,0.0148901866961905,ANN,0.0107633958497864
2017-06-30,5min,BV,0.0148901866961905,ARFIMA,0.0113552138157914
2017-06-30,5min,BV,0.0148901866961905,HAR,0.0022752013531589
2017-07-03,5min,BV,0.0156602707871263,ANN,0.0102260573511837
2017-07-03,5min,BV,0.0156602707871263,ARFIMA,0.010157938204136
2017-07-03,5min,BV,0.0156602707871263,HAR,0.002253943431311
2017-07-05,5min,BV,0.0156584028481136,ANN,0.0089768058441844
2017-07-05,5min,BV,0.0156584028481136,ARFIMA,0.0129413035790236
2017-07-05,5min,BV,0.0156584028481136,HAR,0.0023157440453838
2017-07-06,5min,BV,0.0134288373283109,ANN,0.0105481871317113
2017-07-06,5min,BV,0.0134288373283109,ARFIMA,0.0148623419211434
2017-07-06,5min,BV,0.0134288373283109,HAR,0.0023738810760011
2017-07-07,5min,BV,0.0127810454656014,ANN,0.0074058102487747
2017-07-07,5min,BV,0.0127810454656014,ARFIMA,0.0141993537066489
