date,freq,rm,y_true
2017-06-01,5min,BV,0.012475730071793058
2017-06-02,5min,BV,0.011664751983009999
2017-06-05,5min,BV,0.011393209565176293
2017-06-06,5min,BV,0.01155899274961257
2017-06-07,5min,BV,0.012479649757931796
2017-06-08,5min,BV,0.011657497100392935
2017-06-09,5min,BV,0.011274561838790753
2017-06-12,5min,BV,0.01076440156706999
2017-06-13,5min,BV,0.010722981867658783
2017-06-14,5min,BV,0.010270463042235391
2017-06-15,5min,BV,0.01038899729347308
2017-06-16,5min,BV,0.01096794650892719
2017-06-19,5min,BV,0.011644438486992368
2017-06-20,5min,BV,0.011358894967986486
2017-06-21,5min,BV,0.010787102132558644
2017-06-22,5min,BV,0.011407906470817688
2017-06-23,5min,BV,0.011340831567338772
2017-06-26,5min,BV,0.010621638673718587
2017-06-27,5min,BV,0.012554056100745588
2017-06-28,5min,BV,0.014224277291365783
2017-06-29,5min,BV,0.014705526650217519
2017-06-30,5min,BV,0.014890186696190561
2017-07-03,5min,BV,0.01566027078712635
2017-07-05,5min,BV,0.015658402848113605
2017-07-06,5min,BV,0.013428837328310983
2017-07-07,5min,BV,0.012781045465601468
2017-07-10,5min,BV,0.012380014880260472
2017-07-11,5min,BV,0.012086981507363275
2017-07-12,5min,BV,0.010524224129330349
2017-07-13,5min,BV,0.010734993320168373
2017-07-14,5min,BV,0.01044079361630747
2017-07-17,5min,BV,0.010458631272648126
2017-07-18,5min,BV,0.01013394490014504
2017-07-19,5min,BV,0.010122345313344178
2017-07-20,5min,BV,0.010094135152650925
2017-07-21,5min,BV,0.009620734356795807
2017-07-24,5min,BV,0.009835510383456742
2017-07-25,5min,BV,0.010913217601259701
2017-07-26,5min,BV,0.011475820114618793
2017-07-27,5min,BV,0.011584282450357199
2017-07-28,5min,BV,0.012265173742760732
2017-07-31,5min,BV,0.012474116518002759
2017-08-01,5min,BV,0.01177578901695677
2017-08-02,5min,BV,0.011029675854886907
2017-08-03,5min,BV,0.011697796645681867
2017-08-04,5min,BV,0.011432253242778707
2017-08-07,5min,BV,0.011430651649047174
2017-08-08,5min,BV,0.010924230950472189
2017-08-09,5min,BV,0.011188544973810116
2017-08-10,5min,BV,0.010578117793054948
2017-08-11,5min,BV,0.011008374895666709
2017-08-14,5min,BV,0.010985631692230057
2017-08-15,5min,BV,0.012300139827909205
2017-08-16,5min,BV,0.012104104695088968
2017-08-17,5min,BV,0.011710647968950785
2017-08-18,5min,BV,0.0108763707035116
2017-08-21,5min,BV,0.010906947697236023
2017-08-22,5min,BV,0.009993783829537358
2017-08-23,5min,BV,0.010250009516548343
2017-08-24,5min,BV,0.010726137774671103
2017-08-25,5min,BV,0.011177970717343506
2017-08-28,5min,BV,0.011410571476368892
2017-08-29,5min,BV,0.011183341119655467
2017-08-30,5min,BV,0.010814779871304527
2017-08-31,5min,BV,0.011101777566036065
2017-09-01,5min,BV,0.011560466859429587
2017-09-05,5min,BV,0.01126670488412998
2017-09-06,5min,BV,0.010936129299812077
2017-09-07,5min,BV,0.010704463345984537
2017-09-08,5min,BV,0.00955769305709723
2017-09-11,5min,BV,0.008952409947974624
2017-09-12,5min,BV,0.009066187714959362
2017-09-13,5min,BV,0.009724143659406687
2017-09-14,5min,BV,0.009794730950303412
2017-09-15,5min,BV,0.009717138271071634
2017-09-18,5min,BV,0.00927460217833551
2017-09-19,5min,BV,0.008788121647464333
2017-09-20,5min,BV,0.008598067131229807
2017-09-21,5min,BV,0.008804937475428008
2017-09-22,5min,BV,0.009207434047278562
2017-09-25,5min,BV,0.00938645741621349
2017-09-26,5min,BV,0.009023938796435815
2017-09-27,5min,BV,0.009092500376919024
2017-09-28,5min,BV,0.009211962042476197
2017-09-29,5min,BV,0.010274636414826573
2017-10-02,5min,BV,0.01016162682166606
2017-10-03,5min,BV,0.010466900956747821
2017-10-04,5min,BV,0.010928206852638494
2017-10-05,5min,BV,0.010713549192168373
2017-10-06,5min,BV,0.009638916504038246
2017-10-10,5min,BV,0.009996425976865196
2017-10-11,5min,BV,0.009751946085567727
2017-10-12,5min,BV,0.00864104630930771
2017-10-13,5min,BV,0.00845457432731091
2017-10-16,5min,BV,0.008550428776964636
2017-10-17,5min,BV,0.008238936547365247
2017-10-18,5min,BV,0.008577123962046837
2017-10-19,5min,BV,0.00836927785796871
2017-10-20,5min,BV,0.008257289570843835
2017-10-23,5min,BV,0.00796290116572409
2017-10-24,5min,BV,0.0074290984943346525
2017-10-25,5min,BV,0.00784342228869887
2017-10-26,5min,BV,0.007885856352593444
2017-10-27,5min,BV,0.00793278267923169
2017-10-30,5min,BV,0.00869416112744394
2017-10-31,5min,BV,0.009151558617357801
2017-11-01,5min,BV,0.010225096807808
2017-11-02,5min,BV,0.010532901452235182
2017-11-03,5min,BV,0.010812549445957923
2017-11-06,5min,BV,0.010804234041427776
2017-11-07,5min,BV,0.010828826592360254
2017-11-08,5min,BV,0.009375094576118492
2017-11-09,5min,BV,0.009278177418152766
2017-11-13,5min,BV,0.00910073212680633
2017-11-14,5min,BV,0.008673844921251868
2017-11-15,5min,BV,0.00856762719419067
2017-11-16,5min,BV,0.008210739750997004
2017-11-17,5min,BV,0.008321430418259935
2017-11-20,5min,BV,0.008058556317877856
2017-11-21,5min,BV,0.009546995345077008
2017-11-22,5min,BV,0.010360811263520219
2017-11-24,5min,BV,0.011048566917530395
2017-11-27,5min,BV,0.011220986670803991
2017-11-28,5min,BV,0.011193993512552337
2017-11-29,5min,BV,0.010401807904975678
2017-11-30,5min,BV,0.009388750801300532
2017-12-01,5min,BV,0.009195090241050323
2017-12-04,5min,BV,0.008639606078194709
2017-12-05,5min,BV,0.009091932133818773
2017-12-06,5min,BV,0.008606759655859027
2017-12-07,5min,BV,0.009190966413166999
2017-12-08,5min,BV,0.008604422883648537
2017-12-11,5min,BV,0.008849167399837416
2017-12-12,5min,BV,0.008054103372015441
2017-12-13,5min,BV,0.007725295341857006
2017-12-14,5min,BV,0.0069934417091773345
2017-12-15,5min,BV,0.006775491035460795
2017-12-18,5min,BV,0.006923720028290124
2017-12-19,5min,BV,0.00672093726337965
2017-12-20,5min,BV,0.006632564314667177
2017-12-21,5min,BV,0.006470716767560819
2017-12-22,5min,BV,0.0066379313299501485
2017-12-27,5min,BV,0.005983830881288983
2017-12-28,5min,BV,0.006314106976519194
2017-12-29,5min,BV,0.006963278046302702
2018-01-03,5min,BV,0.007010824536013617
2018-01-04,5min,BV,0.007427084193204492
2018-01-05,5min,BV,0.008044626966889722
2018-01-08,5min,BV,0.008486173835880953
2018-01-09,5min,BV,0.0077838877705891305
2018-01-10,5min,BV,0.007805837851023834
2018-01-11,5min,BV,0.008025441168423643
2018-01-12,5min,BV,0.008090600648349273
2018-01-16,5min,BV,0.007691195462665413
2018-01-17,5min,BV,0.008644309915553063
2018-01-18,5min,BV,0.009036531429676023
2018-01-19,5min,BV,0.008817288594309775
2018-01-22,5min,BV,0.008766490491423192
2018-01-23,5min,BV,0.008959917388235466
2018-01-24,5min,BV,0.008994805656481406
2018-01-25,5min,BV,0.009347026360175021
2018-01-26,5min,BV,0.009701305599086708
2018-01-29,5min,BV,0.010304262897198952
2018-01-30,5min,BV,0.011003220868564074
2018-01-31,5min,BV,0.013170158591196248
2018-02-01,5min,BV,0.013669993317675308
2018-02-02,5min,BV,0.01500383787190696
2018-02-05,5min,BV,0.015182690864415762
2018-02-06,5min,BV,0.015402400394985841
2018-02-07,5min,BV,0.01397526473850698
2018-02-08,5min,BV,0.015078682499519156
2018-02-09,5min,BV,0.013965133687754537
2018-02-12,5min,BV,0.013524778273293224
2018-02-13,5min,BV,0.013236794449423463
2018-02-14,5min,BV,0.013175067493078129
2018-02-15,5min,BV,0.010906300294371445
2018-02-16,5min,BV,0.010412471840636577
2018-02-20,5min,BV,0.010407820062222404
2018-02-21,5min,BV,0.011239142617477296
2018-02-22,5min,BV,0.01179775967950644
2018-02-23,5min,BV,0.012366823401096487
2018-02-26,5min,BV,0.0126998139842347
2018-02-27,5min,BV,0.012661267735036605
2018-02-28,5min,BV,0.012922501951936529
2018-03-01,5min,BV,0.012413402303209115
2018-03-02,5min,BV,0.01224192175038747
2018-03-05,5min,BV,0.012003448336088006
2018-03-06,5min,BV,0.013064571476680541
2018-03-07,5min,BV,0.01257154231461025
2018-03-08,5min,BV,0.012375617195726975
2018-03-09,5min,BV,0.012289785532821383
2018-03-12,5min,BV,0.012260444236953235
2018-03-13,5min,BV,0.01087578455290443
2018-03-14,5min,BV,0.009918090360091511
2018-03-15,5min,BV,0.009625986958723982
2018-03-16,5min,BV,0.009332348866541915
2018-03-19,5min,BV,0.009467682327700117
2018-03-20,5min,BV,0.009673466657074999
2018-03-21,5min,BV,0.011043964686833259
2018-03-22,5min,BV,0.011459474578994289
2018-03-23,5min,BV,0.011940949065685531
2018-03-26,5min,BV,0.011806043056652518
2018-03-27,5min,BV,0.012870827704840269
2018-03-28,5min,BV,0.011754265408305225
2018-03-29,5min,BV,0.011577747468183365
2018-04-02,5min,BV,0.011192935801036693
2018-04-03,5min,BV,0.0109226294572933
2018-04-04,5min,BV,0.010687802417902311
2018-04-05,5min,BV,0.010758736316531002
2018-04-06,5min,BV,0.010141553877021843
2018-04-09,5min,BV,0.010114699393343652
2018-04-10,5min,BV,0.010311011547593995
2018-04-11,5min,BV,0.00980617321359808
2018-04-12,5min,BV,0.009774603929557493
2018-04-13,5min,BV,0.01014053689551627
2018-04-16,5min,BV,0.010544966689863365
2018-04-17,5min,BV,0.011366866109117543
2018-04-18,5min,BV,0.01122049663805846
2018-04-19,5min,BV,0.011110249969172715
2018-04-20,5min,BV,0.010829974989867088
2018-04-23,5min,BV,0.011220275685148058
2018-04-24,5min,BV,0.011095366092596795
2018-04-25,5min,BV,0.011034831924654697
2018-04-26,5min,BV,0.011179497076761934
2018-04-27,5min,BV,0.011343803370645252
2018-04-30,5min,BV,0.010451130732588283
2018-05-01,5min,BV,0.01382013064106059
2018-05-02,5min,BV,0.013562267048810665
2018-05-03,5min,BV,0.013319146952967341
2018-05-04,5min,BV,0.013067418559304189
2018-05-07,5min,BV,0.013016206705877074
2018-05-08,5min,BV,0.009051347191527599
2018-05-09,5min,BV,0.008786468877015953
2018-05-10,5min,BV,0.009061223412601464
2018-05-11,5min,BV,0.009084035235220271
2018-05-14,5min,BV,0.008849230376217975
2018-05-15,5min,BV,0.008151570312620333
