n,n_nonfinite_pred,n_nonfinite_true,pct_nonfinite_pred,n_pred_le0,pct_pred_le0,pred_min,pred_p05,pred_p50,pred_p95,pred_max,var_ratio_true_over_pred,corr_true_pred,rm,freq,model,n_used_ratio,n_used_level
1870,0,0,0.0,20,0.0106951871657754,0.0,0.0038968953283239254,0.014856132488930099,0.03812954602486943,0.303544313971461,0.37565206867392625,0.5021027962459377,BV,5min,ANN,1850,1850
1870,0,0,0.0,0,0.0,0.0043977985214774,0.00905861269956516,0.0150122664445708,0.026796969158984586,0.1548484736846267,2.2218060639932053,0.6760629778315762,BV,5min,ARFIMA,1870,1870
1870,0,0,0.0,0,0.0,0.0022043830156042,0.002241643457097535,0.0023389086303743497,0.0028662608051078747,0.0533109145653054,48.262132755215625,0.5177614634722091,BV,5min,HAR,1870,1870
1870,0,0,0.0,10,0.0053475935828877,0.0,0.004597125571818885,0.0160995548048827,0.05287035109816411,0.2339827620830829,0.18008376763991663,0.5902913033435603,JWTSRV,5min,ANN,1860,1860
1870,0,0,0.0,0,0.0,0.0051508429499788,0.008681128456024175,0.01411928488823345,0.02458429724551549,0.0998877290260867,1.8701642615901215,0.7536014667730406,JWTSRV,5min,ARFIMA,1870,1870
1870,0,0,0.0,0,0.0,0.0022401494754859,0.002275219039617155,0.0023627902213546,0.002801671717124325,0.0193244096182829,125.59771172679541,0.6466780298695552,JWTSRV,5min,HAR,1870,1870
1870,0,0,0.0,0,0.0,0.0015058528416057,0.009767109047235404,0.0184425444120593,0.10169036474307426,0.2938346674630003,0.24784076872889094,0.4015533163072113,MedRV,5min,ANN,1870,1870
1870,0,0,0.0,0,0.0,0.0084237731465549,0.009905059241402685,0.01446432696175345,0.023603222149903853,0.1840422661851549,4.1106685793475695,0.5476428334581124,MedRV,5min,ARFIMA,1870,1870
1870,0,0,0.0,0,0.0,0.0021354664481366,0.00216850517367625,0.0022579966129621003,0.0027332901388047244,0.1092179449429146,22.232738718301025,0.33050063295521376,MedRV,5min,HAR,1870,1870
1870,0,0,0.0,44,0.023529411764705882,0.0,0.004654780652618646,0.0337664102169571,0.1875525515304226,0.5262179847523449,0.102167468169899,0.4950290631069004,RK_1min,1min,ANN,1826,1826
1870,0,0,0.0,0,0.0,0.0060421366239674,0.012468548353910754,0.01992101811155205,0.03764195115065813,0.1692038925142384,2.7349009989423894,0.7073130172641442,RK_1min,1min,ARFIMA,1870,1870
1870,0,0,0.0,0,0.0,0.0049680742870275,0.005021387867638055,0.00519416489609015,0.006557884784612039,0.0614337202879914,43.05719596708113,0.6256891525868149,RK_1min,1min,HAR,1870,1870
1870,0,0,0.0,9,0.004812834224598931,0.0,0.00591872485453431,0.02500208618300615,0.07612275335764386,0.3096283254506546,0.44410150790422215,0.541900269986388,RK_5min,5min,ANN,1861,1861
1870,0,0,0.0,0,0.0,0.007093555498511,0.012606107594216166,0.01976101371810495,0.0368494272532672,0.1626263574068465,2.964305945582199,0.7139718159606241,RK_5min,5min,ARFIMA,1870,1870
1870,0,0,0.0,0,0.0,0.0051948607456741,0.00524559711580875,0.0054181120383217495,0.006787006845245709,0.054799696909283,49.456056062210344,0.640415162436043,RK_5min,5min,HAR,1870,1870
1870,0,0,0.0,16,0.008556149732620321,0.0,0.005311042487381445,0.02112218333912045,0.06218424339303722,0.2783277053805063,0.6615359600707211,0.6301629755537071,RV,5min,ANN,1854,1854
1870,0,0,0.0,0,0.0,0.005124406784184,0.012397864899297575,0.0200072363494398,0.0381652557031335,0.202921209116961,2.8503556860656745,0.6707474735963754,RV,5min,ARFIMA,1870,1870
1870,0,0,0.0,0,0.0,0.0047560216382272,0.00481336365537795,0.0049893223258550504,0.006432102983029698,0.09028566436104,29.09032772262623,0.5567498447329003,RV,5min,HAR,1870,1870
1870,0,0,0.0,6,0.0032085561497326204,0.0,0.007927995069376845,0.0187408298856729,0.0977270941499459,0.2988823861138317,0.06779112966835145,0.35295981808805815,TSRV,5min,ANN,1864,1864
1870,0,0,0.0,0,0.0,0.0070858218745538,0.008505909172076286,0.0120879879583473,0.019971443419264698,0.0679839252444041,3.4367895332196716,0.6670044779690257,TSRV,5min,ARFIMA,1870,1870
1870,0,0,0.0,0,0.0,0.003516078552026,0.0035401700992468603,0.00360456498571045,0.00394553870609242,0.014638821269909,240.14083220867317,0.5414816926506577,TSRV,5min,HAR,1870,1870
