volatility_type,frequency,d_hat,alpha1_hat,mu_hat,sigma2_hat_profile
TSRV,5min,0.3558107747824469,-0.10376125269952433,0.013831752285670745,7.956403794480413e-06
TSRV,1min,0.408762295162539,-0.0973099283183713,0.015055712381038155,5.992379841683957e-06
