measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.090995,0.00197155,0.00808414,0.0106619,0.0418751
MedRV,0.0952712,0.00173397,0.00805068,0.0107348,0.0437322
RV,0.100043,0.00298318,0.00452444,0.0134545,0.0449794
TSRV,0.0888261,0.00222619,0.00882218,0.0086228,0.0418533
RK,0.0165033,0.00297685,0.00455106,0.0105057,0.0135045
CBV,0.0115142,0.00270406,0.0088599,0.00837477,0.0099445
