asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,1,crisis,TSRV,GARCH,0.45
CL_WTI,1min,1,crisis,TSRV,ARFIMA,0.479
CL_WTI,1min,1,crisis,TSRV,HAR,0.573
CL_WTI,1min,1,crisis,TSRV,ANN,0.473
CL_WTI,1min,1,crisis,TSRV,HAR-ANN,0.439
CL_WTI,1min,1,crisis,RV,GARCH,0.456
CL_WTI,1min,1,crisis,RV,ARFIMA,0.516
CL_WTI,1min,1,crisis,RV,HAR,0.543
CL_WTI,1min,1,crisis,RV,ANN,0.458
CL_WTI,1min,1,crisis,RV,HAR-ANN,0.484
CL_WTI,1min,1,crisis,JWTSRV,GARCH,0.469
CL_WTI,1min,1,crisis,JWTSRV,ARFIMA,0.443
CL_WTI,1min,1,crisis,JWTSRV,HAR,0.547
CL_WTI,1min,1,crisis,JWTSRV,ANN,0.464
CL_WTI,1min,1,crisis,JWTSRV,HAR-ANN,0.422
CL_WTI,1min,1,crisis,MedRV,GARCH,0.464
CL_WTI,1min,1,crisis,MedRV,ARFIMA,0.465
CL_WTI,1min,1,crisis,MedRV,HAR,0.54
CL_WTI,1min,1,crisis,MedRV,ANN,0.464
CL_WTI,1min,1,crisis,MedRV,HAR-ANN,0.448
