asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,10,post,TSRV,GARCH,0.511
CL_WTI,5min,10,post,TSRV,ARFIMA,0.498
CL_WTI,5min,10,post,TSRV,HAR,0.473
CL_WTI,5min,10,post,TSRV,ANN,0.513
CL_WTI,5min,10,post,TSRV,HAR-ANN,0.495
CL_WTI,5min,10,post,RV,GARCH,0.491
CL_WTI,5min,10,post,RV,ARFIMA,0.512
CL_WTI,5min,10,post,RV,HAR,0.503
CL_WTI,5min,10,post,RV,ANN,0.496
CL_WTI,5min,10,post,RV,HAR-ANN,0.479
CL_WTI,5min,10,post,JWTSRV,GARCH,0.484
CL_WTI,5min,10,post,JWTSRV,ARFIMA,0.517
CL_WTI,5min,10,post,JWTSRV,HAR,0.514
CL_WTI,5min,10,post,JWTSRV,ANN,0.494
CL_WTI,5min,10,post,JWTSRV,HAR-ANN,0.504
CL_WTI,5min,10,post,MedRV,GARCH,0.505
CL_WTI,5min,10,post,MedRV,ARFIMA,0.479
CL_WTI,5min,10,post,MedRV,HAR,0.502
CL_WTI,5min,10,post,MedRV,ANN,0.494
CL_WTI,5min,10,post,MedRV,HAR-ANN,0.514
