measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.016504,0.015129,0.0228755,0.00132112,0.00827596
MedRV,0.0187122,0.015246,0.0228723,0.00124053,0.00927612
RV,0.0240026,0.0207008,0.0226246,0.0035794,0.0129289
TSRV,0.0173135,0.0129745,0.0229233,0.00250887,0.00899925
RK,0.0582892,0.0322068,0.0263206,0.119945,0.0762207
CBV,0.0359607,0.0254754,0.0199873,0.0849516,0.0478774
