measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.299892,0.0292277,0.0864949,0.0134527,0.197731
MedRV,0.304058,0.0275297,0.0857616,0.0136516,0.200828
RV,0.329055,0.0343004,0.0451256,0.0173078,0.216185
TSRV,0.284153,0.0257206,0.095091,0.0105962,0.190468
RK,0.0198869,0.0327619,0.0458355,0.0143909,0.0171389
CBV,0.0134773,0.0488856,0.0920611,0.0105254,0.0120013
