measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.0143337,0.0114987,0.0199469,0.0013268,0.00705109
MedRV,0.0151325,0.011861,0.0199474,0.00124657,0.00749705
RV,0.0178429,0.0162368,0.0197758,0.003621,0.00976731
TSRV,0.0152624,0.0104681,0.0199652,0.00251775,0.0078066
RK,0.0644292,0.031068,0.0219225,0.104153,0.0755972
CBV,0.0358989,0.0244848,0.0167281,0.0813967,0.0487878
