measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.0912,0,0,0,0.00160256
MedRV,0.0944,0,0,0,0
RV,0.0768,0,0,0.00480769,0
TSRV,0.136,0,0,0,0
RK,0.4896,0.3808,0.2608,1,0.7632
CBV,0.312,0.24,0.0896,0.8736,0.512
