measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.0396053,0.0214802,0.0453208,0.00193926,0.0202459
MedRV,0.0430745,0.0269325,0.046205,0.0091713,0.0235635
RV,0.0529453,0.0381669,0.0451994,0.0173675,0.0303162
TSRV,0.03683,0.0171382,0.0457655,0.00315351,0.019248
RK,0.0564635,0.030063,0.0312511,0.0409196,0.04047
CBV,0.0449261,0.0305532,0.0361324,0.0371318,0.0358469
