measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.0245072,0.018522,0.0327066,0.00238337,0.0119629
MedRV,0.0267965,0.0199316,0.0333433,0.00285532,0.0125723
RV,0.0361103,0.029339,0.0327934,0.00676755,0.0184976
TSRV,0.0243714,0.0153688,0.0328337,0.00334514,0.0122205
RK,0.0916631,0.0445604,0.0432689,0.136681,0.0962358
CBV,0.0658766,0.0398028,0.0352128,0.107781,0.0735665
