measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,624,624,620,603,603
MedRV,624,624,620,603,603
RV,624,624,620,603,603
TSRV,624,624,620,603,603
RK,624,624,620,624,624
CBV,624,624,620,624,624
