measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.861244,1,1,1,1
MedRV,0.880383,1,1,1,1
RV,0.880383,1,1,0.99835,0.99835
TSRV,0.792663,1,1,1,1
RK,0.413738,0.610224,0.758786,0.00330579,0.203306
CBV,0.597444,0.723642,0.915335,0.077686,0.385124
