asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,10,pre,TSRV,GARCH,0.465
CL_WTI,5min,10,pre,TSRV,ARFIMA,0.507
CL_WTI,5min,10,pre,TSRV,HAR,0.505
CL_WTI,5min,10,pre,TSRV,ANN,0.533
CL_WTI,5min,10,pre,TSRV,HAR-ANN,0.494
CL_WTI,5min,10,pre,RV,GARCH,0.469
CL_WTI,5min,10,pre,RV,ARFIMA,0.499
CL_WTI,5min,10,pre,RV,HAR,0.479
CL_WTI,5min,10,pre,RV,ANN,0.485
CL_WTI,5min,10,pre,RV,HAR-ANN,0.496
CL_WTI,5min,10,pre,JWTSRV,GARCH,0.505
CL_WTI,5min,10,pre,JWTSRV,ARFIMA,0.513
CL_WTI,5min,10,pre,JWTSRV,HAR,0.48
CL_WTI,5min,10,pre,JWTSRV,ANN,0.501
CL_WTI,5min,10,pre,JWTSRV,HAR-ANN,0.498
CL_WTI,5min,10,pre,MedRV,GARCH,0.498
CL_WTI,5min,10,pre,MedRV,ARFIMA,0.51
CL_WTI,5min,10,pre,MedRV,HAR,0.501
CL_WTI,5min,10,pre,MedRV,ANN,0.509
CL_WTI,5min,10,pre,MedRV,HAR-ANN,0.513
