measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.015215,0.015129,0.0228755,0.00132112,0.0082596
MedRV,0.0173338,0.015246,0.0228723,0.00124053,0.00927612
RV,0.0224315,0.0207008,0.0226246,0.0034885,0.0129289
TSRV,0.0155303,0.0129745,0.0229233,0.00250887,0.00899925
