measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.0180009,0.0151598,0.0228781,0.0010015,0.0082028
MedRV,0.0156545,0.0152348,0.0228757,0.00111098,0.00757625
RV,0.0233814,0.020951,0.0226194,0.00346935,0.0125632
TSRV,0.0186531,0.013962,0.0229021,0.00206247,0.00946797
