asset,freq,h,period,RM1_dep,RM_pred,model,alpha,beta,p_alpha_eq_0,p_beta_eq_1,p_joint_alpha0_beta1,N
CL_WTI,5min,10,pre,TSRV,TSRV,GARCH,0.005547337494020187,0.28711989016822925,0.0,0.0,0.0,613
CL_WTI,5min,10,pre,TSRV,TSRV,ARFIMA,0.004283719102197079,0.6663819139925489,8.881784197001252e-16,8.01891886226258e-12,0.0,622
CL_WTI,5min,10,pre,TSRV,TSRV,HAR,-0.05090988417505568,23.41908859419386,0.0,0.0,0.0,601
CL_WTI,5min,10,pre,TSRV,TSRV,ANN,0.010921619388949283,0.004554906978657155,0.0,0.0,0.0,622
CL_WTI,5min,10,pre,TSRV,TSRV,HAR-ANN,0.010786673816568473,0.01000332112137764,0.0,0.0,0.0,601
CL_WTI,5min,10,crisis,TSRV,TSRV,GARCH,0.008317965545287867,0.27857608270730655,0.0,0.0,0.0,620
CL_WTI,5min,10,crisis,TSRV,TSRV,ARFIMA,0.0010881859713830746,1.0672610980635924,0.21517681883686235,0.17389961647293029,1.569424464498148e-06,620
CL_WTI,5min,10,crisis,TSRV,TSRV,HAR,-0.004481313715799557,7.49237515071323,0.00120562611297248,0.0,0.0,620
CL_WTI,5min,10,crisis,TSRV,TSRV,ANN,0.014568547187244495,0.026698826109298218,0.0,0.0,0.0,620
CL_WTI,5min,10,crisis,TSRV,TSRV,HAR-ANN,0.01436483613974519,0.055519076960033845,0.0,0.0,0.0,620
CL_WTI,5min,10,post,TSRV,TSRV,GARCH,0.0054622930059076095,0.3387922022958783,1.4654943925052066e-14,0.0,0.0,623
CL_WTI,5min,10,post,TSRV,TSRV,ARFIMA,0.004794489623691113,0.6412227578254885,0.0,0.0,0.0,623
CL_WTI,5min,10,post,TSRV,TSRV,HAR,-0.04338645965410874,20.987485483842406,0.0,0.0,0.0,623
CL_WTI,5min,10,post,TSRV,TSRV,ANN,0.012712834650955445,0.005368005139780157,0.0,0.0,0.0,623
CL_WTI,5min,10,post,TSRV,TSRV,HAR-ANN,0.012693474087400755,0.010823201754515607,0.0,0.0,0.0,623
CL_WTI,5min,10,pre,RV,RV,GARCH,0.004235560394169218,0.6506799475050685,1.6393948845117023e-06,1.3322676295501878e-15,0.0,613
CL_WTI,5min,10,pre,RV,RV,ARFIMA,0.003723551429991282,0.8179756555973043,4.802111681634358e-07,2.556091486782819e-05,3.364971712382925e-08,622
CL_WTI,5min,10,pre,RV,RV,HAR,-0.0373584896117116,14.237951823190066,0.0,0.0,0.0,601
CL_WTI,5min,10,pre,RV,RV,ANN,0.01516611449553637,0.0185661166554117,0.0,0.0,0.0,622
CL_WTI,5min,10,pre,RV,RV,HAR-ANN,0.01495805292565001,0.03972996658626557,0.0,0.0,0.0,601
CL_WTI,5min,10,crisis,RV,RV,GARCH,0.010159739179459556,0.7005167547316732,3.6189548024978535e-08,2.4202861936828413e-13,6.623590564913684e-13,620
CL_WTI,5min,10,crisis,RV,RV,ARFIMA,0.005738306858346566,0.9377122223248111,0.003550297240215272,0.22834409052887295,0.0030319188117170492,620
CL_WTI,5min,10,crisis,RV,RV,HAR,0.020572182728005477,2.28836855401963,0.0,7.793765632868599e-14,0.0,620
CL_WTI,5min,10,crisis,RV,RV,ANN,0.028004285772345778,0.04286435417248962,0.0,0.0,0.0,620
CL_WTI,5min,10,crisis,RV,RV,HAR-ANN,0.026239966750375206,0.10810810645116992,0.0,0.0,0.0,620
CL_WTI,5min,10,post,RV,RV,GARCH,0.004394336325749265,0.7304036740766771,1.2862817098557855e-05,3.70308894659388e-10,0.0,623
CL_WTI,5min,10,post,RV,RV,ARFIMA,0.008483580072069858,0.5990914953939785,0.0,0.0,0.0,623
