measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.109818,0.0210538,0.00893883,0.103875,0.0605258
MedRV,0.111494,0.0201734,0.00893012,0.105114,0.058136
RV,0.116492,0.0266518,0.0152348,0.115561,0.0590103
TSRV,0.114165,0.0269119,0.00947334,0.0969884,0.0635668
