asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,5,post,TSRV,GARCH,0.474
CL_WTI,1min,5,post,TSRV,ARFIMA,0.524
CL_WTI,1min,5,post,TSRV,HAR,0.489
CL_WTI,1min,5,post,TSRV,ANN,0.528
CL_WTI,1min,5,post,TSRV,HAR-ANN,0.519
CL_WTI,1min,5,post,RV,GARCH,0.491
CL_WTI,1min,5,post,RV,ARFIMA,0.503
CL_WTI,1min,5,post,RV,HAR,0.538
CL_WTI,1min,5,post,RV,ANN,0.522
CL_WTI,1min,5,post,RV,HAR-ANN,0.53
CL_WTI,1min,5,post,JWTSRV,GARCH,0.485
CL_WTI,1min,5,post,JWTSRV,ARFIMA,0.496
CL_WTI,1min,5,post,JWTSRV,HAR,0.509
CL_WTI,1min,5,post,JWTSRV,ANN,0.491
CL_WTI,1min,5,post,JWTSRV,HAR-ANN,0.485
CL_WTI,1min,5,post,MedRV,GARCH,0.487
CL_WTI,1min,5,post,MedRV,ARFIMA,0.533
CL_WTI,1min,5,post,MedRV,HAR,0.483
CL_WTI,1min,5,post,MedRV,ANN,0.472
CL_WTI,1min,5,post,MedRV,HAR-ANN,0.486
