measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.0127552,0.0114987,0.0199469,0.0013268,0.00705109
MedRV,0.0136955,0.011861,0.0199474,0.00124657,0.00749705
RV,0.0159752,0.0162368,0.0197758,0.00352148,0.0097381
TSRV,0.0131952,0.0104681,0.0199652,0.00251775,0.0078066
