measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.0992687,0.106429,0.140335,0.0364024,0.0776933
MedRV,0.103729,0.108305,0.140339,0.0352916,0.0801369
RV,0.112309,0.126606,0.13974,0.0591852,0.0933773
TSRV,0.0947488,0.101756,0.140392,0.0501581,0.0806504
