measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.8192,1,1,1,0.99359
MedRV,0.8928,1,1,1,1
RV,0.9088,1,1,0.995192,0.99359
TSRV,0.8688,1,1,1,1
