measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.281266,0.0353717,0.100259,0.0178824,0.184393
MedRV,0.276348,0.0374864,0.0997294,0.0201092,0.182228
RV,0.287019,0.0495459,0.0593474,0.0278987,0.184153
TSRV,0.279699,0.0272889,0.109046,0.014682,0.186558
