measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.298784,0.0305236,0.0864412,0.0133518,0.197166
MedRV,0.304638,0.0288171,0.0857036,0.0135516,0.201252
RV,0.329286,0.0369991,0.0476666,0.017109,0.21647
TSRV,0.283911,0.0271996,0.0960835,0.0104441,0.190457
