measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.112903,0.00344099,0.00920447,0.0141613,0.0511347
MedRV,0.106507,0.00333996,0.00912952,0.0141287,0.0474511
RV,0.129453,0.00521097,0.00545479,0.0185037,0.0571064
TSRV,0.118761,0.00346509,0.0101505,0.0123867,0.0544574
