asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,1,pre,TSRV,GARCH,0.506
CL_WTI,1min,1,pre,TSRV,ARFIMA,0.519
CL_WTI,1min,1,pre,TSRV,HAR,0.513
CL_WTI,1min,1,pre,TSRV,ANN,0.501
CL_WTI,1min,1,pre,TSRV,HAR-ANN,0.487
CL_WTI,1min,1,pre,RV,GARCH,0.528
CL_WTI,1min,1,pre,RV,ARFIMA,0.501
CL_WTI,1min,1,pre,RV,HAR,0.513
CL_WTI,1min,1,pre,RV,ANN,0.467
CL_WTI,1min,1,pre,RV,HAR-ANN,0.474
CL_WTI,1min,1,pre,JWTSRV,GARCH,0.497
CL_WTI,1min,1,pre,JWTSRV,ARFIMA,0.484
CL_WTI,1min,1,pre,JWTSRV,HAR,0.515
CL_WTI,1min,1,pre,JWTSRV,ANN,0.494
CL_WTI,1min,1,pre,JWTSRV,HAR-ANN,0.513
CL_WTI,1min,1,pre,MedRV,GARCH,0.455
CL_WTI,1min,1,pre,MedRV,ARFIMA,0.505
CL_WTI,1min,1,pre,MedRV,HAR,0.534
CL_WTI,1min,1,pre,MedRV,ANN,0.497
CL_WTI,1min,1,pre,MedRV,HAR-ANN,0.493
