asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,1,post,TSRV,GARCH,0.518
CL_WTI,5min,1,post,TSRV,ARFIMA,0.509
CL_WTI,5min,1,post,TSRV,HAR,0.49
CL_WTI,5min,1,post,TSRV,ANN,0.499
CL_WTI,5min,1,post,TSRV,HAR-ANN,0.48
CL_WTI,5min,1,post,RV,GARCH,0.504
CL_WTI,5min,1,post,RV,ARFIMA,0.533
CL_WTI,5min,1,post,RV,HAR,0.481
CL_WTI,5min,1,post,RV,ANN,0.468
CL_WTI,5min,1,post,RV,HAR-ANN,0.527
CL_WTI,5min,1,post,JWTSRV,GARCH,0.487
CL_WTI,5min,1,post,JWTSRV,ARFIMA,0.493
CL_WTI,5min,1,post,JWTSRV,HAR,0.498
CL_WTI,5min,1,post,JWTSRV,ANN,0.483
CL_WTI,5min,1,post,JWTSRV,HAR-ANN,0.478
CL_WTI,5min,1,post,MedRV,GARCH,0.504
CL_WTI,5min,1,post,MedRV,ARFIMA,0.494
CL_WTI,5min,1,post,MedRV,HAR,0.514
CL_WTI,5min,1,post,MedRV,ANN,0.482
CL_WTI,5min,1,post,MedRV,HAR-ANN,0.474
