asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,10,pre,TSRV,GARCH,0.516
CL_WTI,1min,10,pre,TSRV,ARFIMA,0.514
CL_WTI,1min,10,pre,TSRV,HAR,0.471
CL_WTI,1min,10,pre,TSRV,ANN,0.506
CL_WTI,1min,10,pre,TSRV,HAR-ANN,0.553
CL_WTI,1min,10,pre,RV,GARCH,0.471
CL_WTI,1min,10,pre,RV,ARFIMA,0.512
CL_WTI,1min,10,pre,RV,HAR,0.492
CL_WTI,1min,10,pre,RV,ANN,0.542
CL_WTI,1min,10,pre,RV,HAR-ANN,0.478
CL_WTI,1min,10,pre,JWTSRV,GARCH,0.462
CL_WTI,1min,10,pre,JWTSRV,ARFIMA,0.506
CL_WTI,1min,10,pre,JWTSRV,HAR,0.482
CL_WTI,1min,10,pre,JWTSRV,ANN,0.48
CL_WTI,1min,10,pre,JWTSRV,HAR-ANN,0.5
CL_WTI,1min,10,pre,MedRV,GARCH,0.49
CL_WTI,1min,10,pre,MedRV,ARFIMA,0.506
CL_WTI,1min,10,pre,MedRV,HAR,0.478
CL_WTI,1min,10,pre,MedRV,ANN,0.513
CL_WTI,1min,10,pre,MedRV,HAR-ANN,0.504
