measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.185008,0,0,0,0
MedRV,0.127592,0,0,0,0.00165017
RV,0.119617,0,0,0.00330033,0.00330033
TSRV,0.226475,0,0,0,0.00165017
RK,0.559105,0.378594,0.215655,0.998347,0.728926
CBV,0.396166,0.246006,0.0734824,0.986777,0.596694
