asset,freq,h,period,model,measure,mcs_p,in_mcs
CL_WTI,1min,5,pre,GARCH,TSRV,,True
CL_WTI,1min,5,pre,GARCH,RV,,True
CL_WTI,1min,5,pre,GARCH,JWTSRV,,True
CL_WTI,1min,5,pre,GARCH,MedRV,,True
CL_WTI,1min,5,pre,ARFIMA,TSRV,,True
CL_WTI,1min,5,pre,ARFIMA,RV,,True
CL_WTI,1min,5,pre,ARFIMA,JWTSRV,,True
CL_WTI,1min,5,pre,ARFIMA,MedRV,,True
CL_WTI,1min,5,pre,HAR,TSRV,,True
CL_WTI,1min,5,pre,HAR,RV,,True
CL_WTI,1min,5,pre,HAR,JWTSRV,,True
CL_WTI,1min,5,pre,HAR,MedRV,,True
CL_WTI,1min,5,pre,ANN,TSRV,,True
CL_WTI,1min,5,pre,ANN,RV,,True
CL_WTI,1min,5,pre,ANN,JWTSRV,,True
CL_WTI,1min,5,pre,ANN,MedRV,,True
CL_WTI,1min,5,pre,HAR-ANN,TSRV,,True
CL_WTI,1min,5,pre,HAR-ANN,RV,,True
CL_WTI,1min,5,pre,HAR-ANN,JWTSRV,,True
CL_WTI,1min,5,pre,HAR-ANN,MedRV,,True
