asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,5,crisis,TSRV,GARCH,0.434
CL_WTI,5min,5,crisis,TSRV,ARFIMA,0.538
CL_WTI,5min,5,crisis,TSRV,HAR,0.479
CL_WTI,5min,5,crisis,TSRV,ANN,0.508
CL_WTI,5min,5,crisis,TSRV,HAR-ANN,0.481
CL_WTI,5min,5,crisis,RV,GARCH,0.464
CL_WTI,5min,5,crisis,RV,ARFIMA,0.515
CL_WTI,5min,5,crisis,RV,HAR,0.456
CL_WTI,5min,5,crisis,RV,ANN,0.502
CL_WTI,5min,5,crisis,RV,HAR-ANN,0.496
CL_WTI,5min,5,crisis,JWTSRV,GARCH,0.479
CL_WTI,5min,5,crisis,JWTSRV,ARFIMA,0.548
CL_WTI,5min,5,crisis,JWTSRV,HAR,0.469
CL_WTI,5min,5,crisis,JWTSRV,ANN,0.494
CL_WTI,5min,5,crisis,JWTSRV,HAR-ANN,0.502
CL_WTI,5min,5,crisis,MedRV,GARCH,0.45
CL_WTI,5min,5,crisis,MedRV,ARFIMA,0.532
CL_WTI,5min,5,crisis,MedRV,HAR,0.477
CL_WTI,5min,5,crisis,MedRV,ANN,0.458
CL_WTI,5min,5,crisis,MedRV,HAR-ANN,0.504
