measure,ANN,ARFIMA,GARCH,HAR,HAR-ANN
JWTSRV,0.814992,1,1,1,1
MedRV,0.872408,1,1,1,0.99835
RV,0.880383,1,1,0.9967,0.9967
TSRV,0.773525,1,1,1,0.99835
RK,0.440895,0.621406,0.784345,0.00165289,0.271074
CBV,0.603834,0.753994,0.926518,0.0132231,0.403306
