asset,freq,h,period,RM1_dep,RM_pred,model,alpha,beta,p_alpha_eq_0,p_beta_eq_1,p_joint_alpha0_beta1,N
CL_WTI,1min,10,pre,TSRV,TSRV,GARCH,0.005601441503381388,0.31399571406321886,0.0,0.0,0.0,613
CL_WTI,1min,10,pre,TSRV,TSRV,ARFIMA,0.004408882041968518,0.6658028176429183,0.0,1.3322676295501878e-15,0.0,622
CL_WTI,1min,10,pre,TSRV,TSRV,HAR,-0.036696958793072165,21.86567910137984,0.0,0.0,0.0,601
CL_WTI,1min,10,pre,TSRV,TSRV,ANN,0.011101055472116421,0.008422771464329255,0.0,0.0,0.0,622
CL_WTI,1min,10,pre,TSRV,TSRV,HAR-ANN,0.010944886408249466,0.018281989678565258,0.0,0.0,0.0,601
CL_WTI,1min,10,crisis,TSRV,TSRV,GARCH,0.008439826744917854,0.3132432995117717,0.0,0.0,0.0,620
CL_WTI,1min,10,crisis,TSRV,TSRV,ARFIMA,0.002353731989854703,0.964893257618072,0.010952241769379922,0.44302524860779924,0.0010763908022698443,620
CL_WTI,1min,10,crisis,TSRV,TSRV,HAR,0.0035926934528622105,5.876696185776157,0.0006934187921268098,0.0,0.0,620
CL_WTI,1min,10,crisis,TSRV,TSRV,ANN,0.01653029251695659,0.01976655366069257,0.0,0.0,0.0,620
CL_WTI,1min,10,crisis,TSRV,TSRV,HAR-ANN,0.01633818667359007,0.04181428961506568,0.0,0.0,0.0,620
CL_WTI,1min,10,post,TSRV,TSRV,GARCH,0.0055423812704965165,0.36840053710919807,5.329070518200751e-15,0.0,0.0,623
CL_WTI,1min,10,post,TSRV,TSRV,ARFIMA,0.005474151581565303,0.6005710134109905,0.0,0.0,0.0,623
CL_WTI,1min,10,post,TSRV,TSRV,HAR,-0.030860807322280102,19.734909267213617,0.0,0.0,0.0,623
CL_WTI,1min,10,post,TSRV,TSRV,ANN,0.013474868425258347,0.005089688027080315,0.0,0.0,0.0,623
CL_WTI,1min,10,post,TSRV,TSRV,HAR-ANN,0.013456570541220356,0.010293522580059881,0.0,0.0,0.0,623
CL_WTI,1min,10,pre,RV,RV,GARCH,0.004773694997249941,0.6359304335395292,2.746613294579703e-07,2.220446049250313e-15,0.0,613
CL_WTI,1min,10,pre,RV,RV,ARFIMA,0.003694413237613223,0.816648600103434,1.3796527749132537e-06,2.8437613571519194e-05,6.662643163846127e-07,622
CL_WTI,1min,10,pre,RV,RV,HAR,-0.03087642133393308,12.949853628772601,0.0,0.0,0.0,601
CL_WTI,1min,10,pre,RV,RV,ANN,0.014805746667498745,0.023179714684305398,0.0,0.0,0.0,622
CL_WTI,1min,10,pre,RV,RV,HAR-ANN,0.014619834622312786,0.048611565160817105,0.0,0.0,0.0,601
CL_WTI,1min,10,crisis,RV,RV,GARCH,0.010220577922172928,0.6816213810689071,1.1434626578932239e-09,0.0,0.0,620
CL_WTI,1min,10,crisis,RV,RV,ARFIMA,0.004887396082306152,0.9512776535365689,0.0065845425002568625,0.309580771172574,0.004340738900722507,620
CL_WTI,1min,10,crisis,RV,RV,HAR,0.017002105898072807,2.964858558065197,0.0,0.0,0.0,620
CL_WTI,1min,10,crisis,RV,RV,ANN,0.031934478907655044,0.008070295148404842,0.0,0.0,0.0,620
CL_WTI,1min,10,crisis,RV,RV,HAR-ANN,0.030634904004350927,0.034185753325459416,0.0,0.0,0.0,620
CL_WTI,1min,10,post,RV,RV,GARCH,0.004644855141281224,0.7247991223853795,4.354714303156371e-06,1.8422841030485415e-10,0.0,623
CL_WTI,1min,10,post,RV,RV,ARFIMA,0.008416627885711972,0.6009183932024637,0.0,0.0,0.0,623
CL_WTI,1min,10,post,RV,RV,HAR,-0.04342653603575847,16.733226587430703,0.0,0.0,0.0,623
CL_WTI,1min,10,post,RV,RV,ANN,0.018572173204943792,0.021100208201129622,0.0,0.0,0.0,623
CL_WTI,1min,10,post,RV,RV,HAR-ANN,0.018462939161309935,0.04259814830892512,0.0,0.0,0.0,623
CL_WTI,1min,10,pre,JWTSRV,JWTSRV,GARCH,0.004383638799783717,0.38657088242538007,0.0,0.0,0.0,613
CL_WTI,1min,10,pre,JWTSRV,JWTSRV,ARFIMA,0.0030491820795316457,0.765703711519067,0.0,3.3306690738754696e-15,0.0,622
CL_WTI,1min,10,pre,JWTSRV,JWTSRV,HAR,-0.018336293519819573,26.207043422810706,0.0,0.0,0.0,601
CL_WTI,1min,10,pre,JWTSRV,JWTSRV,ANN,0.01149607245985949,0.006308446784338809,0.0,0.0,0.0,622
CL_WTI,1min,10,pre,JWTSRV,JWTSRV,HAR-ANN,0.01148388259333475,0.013225004193823015,0.0,0.0,0.0,601
CL_WTI,1min,10,crisis,JWTSRV,JWTSRV,GARCH,0.006864253167886213,0.4357914817802462,3.991695196603473e-09,0.0,0.0,620
CL_WTI,1min,10,crisis,JWTSRV,JWTSRV,ARFIMA,0.007961322453664339,0.6694692811077496,4.2346592898923063e-10,5.242695166884914e-12,5.019762383540183e-12,620
CL_WTI,1min,10,crisis,JWTSRV,JWTSRV,HAR,0.01889767464578543,1.293635410986784,0.0,0.0625233376162011,0.0,620
CL_WTI,1min,10,crisis,JWTSRV,JWTSRV,ANN,0.014195489576206102,0.055374440330792835,0.0,0.0,0.0,620
CL_WTI,1min,10,crisis,JWTSRV,JWTSRV,HAR-ANN,0.013781587429440698,0.11534712610585438,0.0,0.0,0.0,620
CL_WTI,1min,10,post,JWTSRV,JWTSRV,GARCH,0.005651205892665219,0.4018105730323001,0.0,0.0,0.0,623
CL_WTI,1min,10,post,JWTSRV,JWTSRV,ARFIMA,0.006590269019780777,0.5370901645534231,0.0,0.0,0.0,623
CL_WTI,1min,10,post,JWTSRV,JWTSRV,HAR,-0.012830552817054277,22.404004424866557,0.0,0.0,0.0,623
CL_WTI,1min,10,post,JWTSRV,JWTSRV,ANN,0.014571154667255275,0.0035241389798088274,0.0,0.0,0.0,623
CL_WTI,1min,10,post,JWTSRV,JWTSRV,HAR-ANN,0.014559546076835196,0.007183799408860063,0.0,0.0,0.0,623
CL_WTI,1min,10,pre,MedRV,MedRV,GARCH,0.0045519815860120385,0.3978991640052236,0.0,0.0,0.0,613
