asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,1,crisis,TSRV,GARCH,0.428
CL_WTI,5min,1,crisis,TSRV,ARFIMA,0.575
CL_WTI,5min,1,crisis,TSRV,HAR,0.562
CL_WTI,5min,1,crisis,TSRV,ANN,0.464
CL_WTI,5min,1,crisis,TSRV,HAR-ANN,0.461
CL_WTI,5min,1,crisis,RV,GARCH,0.458
CL_WTI,5min,1,crisis,RV,ARFIMA,0.445
CL_WTI,5min,1,crisis,RV,HAR,0.532
CL_WTI,5min,1,crisis,RV,ANN,0.465
CL_WTI,5min,1,crisis,RV,HAR-ANN,0.465
CL_WTI,5min,1,crisis,JWTSRV,GARCH,0.504
CL_WTI,5min,1,crisis,JWTSRV,ARFIMA,0.511
CL_WTI,5min,1,crisis,JWTSRV,HAR,0.579
CL_WTI,5min,1,crisis,JWTSRV,ANN,0.466
CL_WTI,5min,1,crisis,JWTSRV,HAR-ANN,0.463
CL_WTI,5min,1,crisis,MedRV,GARCH,0.452
CL_WTI,5min,1,crisis,MedRV,ARFIMA,0.48
CL_WTI,5min,1,crisis,MedRV,HAR,0.539
CL_WTI,5min,1,crisis,MedRV,ANN,0.463
CL_WTI,5min,1,crisis,MedRV,HAR-ANN,0.451
