asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,5,crisis,TSRV,GARCH,0.441
CL_WTI,1min,5,crisis,TSRV,ARFIMA,0.532
CL_WTI,1min,5,crisis,TSRV,HAR,0.448
CL_WTI,1min,5,crisis,TSRV,ANN,0.517
CL_WTI,1min,5,crisis,TSRV,HAR-ANN,0.517
CL_WTI,1min,5,crisis,RV,GARCH,0.477
CL_WTI,1min,5,crisis,RV,ARFIMA,0.524
CL_WTI,1min,5,crisis,RV,HAR,0.465
CL_WTI,1min,5,crisis,RV,ANN,0.528
CL_WTI,1min,5,crisis,RV,HAR-ANN,0.502
CL_WTI,1min,5,crisis,JWTSRV,GARCH,0.448
CL_WTI,1min,5,crisis,JWTSRV,ARFIMA,0.521
CL_WTI,1min,5,crisis,JWTSRV,HAR,0.485
CL_WTI,1min,5,crisis,JWTSRV,ANN,0.442
CL_WTI,1min,5,crisis,JWTSRV,HAR-ANN,0.47
CL_WTI,1min,5,crisis,MedRV,GARCH,0.436
CL_WTI,1min,5,crisis,MedRV,ARFIMA,0.564
CL_WTI,1min,5,crisis,MedRV,HAR,0.492
CL_WTI,1min,5,crisis,MedRV,ANN,0.455
CL_WTI,1min,5,crisis,MedRV,HAR-ANN,0.506
