asset,freq,h,period,RM1_dep,RM_pred,model,alpha,beta,p_alpha_eq_0,p_beta_eq_1,p_joint_alpha0_beta1,N
CL_WTI,5min,1,pre,TSRV,TSRV,GARCH,-2.153885003945269e-05,0.008003386347321109,0.47177685285250437,0.0,0.0,627
CL_WTI,5min,1,pre,TSRV,TSRV,ARFIMA,-1.2168239935560484e-05,0.014285584849426498,0.7172707384389361,0.0,0.0,627
CL_WTI,5min,1,pre,TSRV,TSRV,HAR,-0.0052625873048859255,2.033760916391795,0.0,0.0,0.0,606
CL_WTI,5min,1,pre,TSRV,TSRV,ANN,0.0001380088230583716,0.00010217464839460685,0.0,0.0,0.0,627
CL_WTI,5min,1,pre,TSRV,TSRV,HAR-ANN,0.0001312386651701357,0.0007823738544974672,0.0,0.0,0.0,606
CL_WTI,5min,1,crisis,TSRV,TSRV,GARCH,-0.0004124263366695346,0.027613422690147788,0.004334680776247879,0.0,0.0,623
CL_WTI,5min,1,crisis,TSRV,TSRV,ARFIMA,-0.0009828579161352362,0.09582390468991092,3.651268696058807e-06,0.0,0.0,623
CL_WTI,5min,1,crisis,TSRV,TSRV,HAR,-0.00511576210868177,1.9050462370777261,0.0,0.0,0.0,623
CL_WTI,5min,1,crisis,TSRV,TSRV,ANN,0.00038144890878854686,0.006174439638205026,0.00304221234229618,0.0,0.0,623
CL_WTI,5min,1,crisis,TSRV,TSRV,HAR-ANN,0.0003150150357512119,0.016453252043007002,0.0184326639454806,0.0,0.0,623
CL_WTI,5min,1,post,TSRV,TSRV,GARCH,-5.4143389911526806e-05,0.010538459902294102,0.15323117852456303,0.0,0.0,625
CL_WTI,5min,1,post,TSRV,TSRV,ARFIMA,-0.00012460065859854158,0.023855352431612145,0.00038017040982207817,0.0,0.0,625
CL_WTI,5min,1,post,TSRV,TSRV,HAR,-0.004765881702217834,1.8363787993440908,0.0,0.0,0.0,624
CL_WTI,5min,1,post,TSRV,TSRV,ANN,0.0001620776621412401,0.0017464527445914826,0.0,0.0,0.0,625
CL_WTI,5min,1,post,TSRV,TSRV,HAR-ANN,0.00015652598375121907,0.0036082720595815047,0.0,0.0,0.0,624
CL_WTI,5min,1,pre,RV,RV,GARCH,-0.0002995051312094723,0.031245971964254247,0.00031299839375109606,0.0,0.0,627
CL_WTI,5min,1,pre,RV,RV,ARFIMA,-0.00034584027806191294,0.04071835469727569,1.5875970159173747e-05,0.0,0.0,627
CL_WTI,5min,1,pre,RV,RV,HAR,-0.005079813422902941,1.4095709048775047,0.0,2.0311967530162178e-07,0.0,606
CL_WTI,5min,1,pre,RV,RV,ANN,0.0002428274177622299,0.005289547482539846,1.5143442055887135e-13,0.0,0.0,627
CL_WTI,5min,1,pre,RV,RV,HAR-ANN,0.00021780763597421463,0.011197200791380799,1.5105480200006127e-08,0.0,0.0,606
CL_WTI,5min,1,crisis,RV,RV,GARCH,-0.003525215345413315,0.1816012889364634,0.0016390498025486977,0.0,0.0,623
CL_WTI,5min,1,crisis,RV,RV,ARFIMA,-0.004213169771170273,0.22677947224882536,0.0009381120168865387,0.0,0.0,623
CL_WTI,5min,1,crisis,RV,RV,HAR,-0.0059031941658453145,1.4846418240560837,2.2786217357406713e-12,1.8534100254541386e-08,1.3092860129404471e-12,623
CL_WTI,5min,1,crisis,RV,RV,ANN,-0.0003812174511211939,0.10395265242361038,0.6795835493725271,0.0,0.0,623
CL_WTI,5min,1,crisis,RV,RV,HAR-ANN,-0.0018108206383433763,0.2577316275498918,0.05302534549246918,0.0,0.0,623
CL_WTI,5min,1,post,RV,RV,GARCH,-0.00030659879257507474,0.03438774498717442,0.0009048982113717408,0.0,0.0,625
CL_WTI,5min,1,post,RV,RV,ARFIMA,-0.0001016670001721975,0.02783816828198859,0.1244099711133122,0.0,0.0,625
CL_WTI,5min,1,post,RV,RV,HAR,-0.005045097716062769,1.392725687490412,0.0,2.0501373620973595e-07,0.0,624
CL_WTI,5min,1,post,RV,RV,ANN,0.00035531758554654784,0.005816428860906696,0.0,0.0,0.0,625
CL_WTI,5min,1,post,RV,RV,HAR-ANN,0.0003254386813980564,0.012171543594922986,1.3877787807814457e-12,0.0,0.0,624
CL_WTI,5min,1,pre,JWTSRV,JWTSRV,GARCH,-0.00010319369536151778,0.01297515284188772,1.2060192792873181e-05,0.0,0.0,627
CL_WTI,5min,1,pre,JWTSRV,JWTSRV,ARFIMA,-0.00013193287397774114,0.024844565152181666,2.2416535294667028e-10,0.0,0.0,627
CL_WTI,5min,1,pre,JWTSRV,JWTSRV,HAR,-0.0018620282957042672,1.3602307531969684,0.0,0.0,0.0,606
CL_WTI,5min,1,pre,JWTSRV,JWTSRV,ANN,0.00012179461303301238,0.0027869863298457514,0.0,0.0,0.0,627
CL_WTI,5min,1,pre,JWTSRV,JWTSRV,HAR-ANN,0.00011656659429184895,0.005883024672502103,0.0,0.0,0.0,606
CL_WTI,5min,1,crisis,JWTSRV,JWTSRV,GARCH,-0.0007799192111264537,0.04244649607566066,6.982201483651806e-10,0.0,0.0,623
CL_WTI,5min,1,crisis,JWTSRV,JWTSRV,ARFIMA,-0.0015301100462462966,0.11361035290627869,0.0,0.0,0.0,623
CL_WTI,5min,1,crisis,JWTSRV,JWTSRV,HAR,-0.0019605510272656685,1.3530567623160448,0.0,0.0,0.0,623
